"Country","Year","Number of dentistry personnel","Number of dentists","Number of dental technicians/assistants"
"Afghanistan"," 2014","356","356",""
"Afghanistan"," 2008","382","382",""
"Afghanistan"," 2007","311","311",""
"Afghanistan"," 2006","337","337",""
"Albania"," 2006","1035","1035",""
"Algeria"," 2007","11010","10621","389"
"Algeria"," 2005","9022","9022",""
"Algeria"," 2002","9553","8861","692"
"Andorra"," 2015","64","64",""
"Andorra"," 2009","51","51",""
"Andorra"," 2003","44","44",""
"Angola"," 2004","222","222",""
"Angola"," 1997","2","2",""
"Antigua and Barbuda"," 1997","13","13",""
"Argentina"," 2004","35592","35592",""
"Argentina"," 2001","35944","35944",""
"Argentina"," 1998","28900","28900",""
"Argentina"," 1992","21900","21900",""
"Armenia"," 2014","1138","1138",""
"Armenia"," 2013","1215","1215",""
"Armenia"," 2012","1290","1290",""
"Armenia"," 2011","1297","1297",""
"Armenia"," 2010","1257","1257",""
"Australia"," 2013","13088","13088",""
"Australia"," 2012","12767","12767",""
"Australia"," 2011","12062","12062",""
"Australia"," 2009","14500","14500",""
"Australia"," 2006","29624","29624",""
"Australia"," 2001","21296","8200","13096"
"Australia"," 1996","23318","23318",""
"Austria"," 2015","4906","4906",""
"Austria"," 2014","4893","4893",""
"Austria"," 2013","4853","4853",""
"Austria"," 2012","4797","4797",""
"Austria"," 2011","4743","4743",""
"Austria"," 2010","4685","4685",""
"Azerbaijan"," 2014","2601","2601",""
"Azerbaijan"," 2013","2452","2452",""
"Azerbaijan"," 2012","2461","2461",""
"Azerbaijan"," 2011","2401","2401",""
"Azerbaijan"," 2010","2467","2467",""
"Bahamas"," 2008","115","79","36"
"Bahamas"," 1998","21","21",""
"Bahrain"," 2014","339","131","208"
"Bahrain"," 2013","330","134","196"
"Bahrain"," 2012","330","139","191"
"Bahrain"," 2011","308","127","181"
"Bahrain"," 2010","294","122","172"
"Bahrain"," 2009","277","118","159"
"Bahrain"," 2008","273","119","154"
"Bahrain"," 2006","253","103","150"
"Bahrain"," 2005","243","98","145"
"Bahrain"," 2004","342","180","162"
"Bangladesh"," 2012","6985","4815","2170"
"Bangladesh"," 2011","6985","4815","2170"
"Bangladesh"," 2010","6252","4336","1916"
"Bangladesh"," 2009","5523","3841","1682"
"Bangladesh"," 2008","4819","3383","1436"
"Bangladesh"," 2007","3162","2059","1103"
"Bangladesh"," 2005","2344","2344",""
"Bangladesh"," 2004","2537","1948","589"
"Bangladesh"," 2002","1886","1886",""
"Barbados"," 2005","94","83","11"
"Barbados"," 2001","62","60","2"
"Barbados"," 1995","61","50","11"
"Belarus"," 2014","5414","5414",""
"Belarus"," 2013","5196","5196",""
"Belarus"," 2012","5194","5194",""
"Belarus"," 2011","5123","5123",""
"Belarus"," 2010","5087","5087",""
"Belgium"," 2014","8108","8108",""
"Belgium"," 2013","7965","7965",""
"Belgium"," 2012","7869","7869",""
"Belgium"," 2011","7777","7777",""
"Belgium"," 2010","7675","7675",""
"Belgium"," 2009","7645","7645",""
"Belgium"," 2008","7757","7757",""
"Belgium"," 2007","7841","7841",""
"Belgium"," 2006","7866","7866",""
"Belgium"," 2005","7731","7731",""
"Belize"," 2009","12","12",""
"Belize"," 2000","32","32",""
"Benin"," 2008","37","37",""
"Benin"," 2004","12","11","1"
"Bhutan"," 2014","26","26",""
"Bhutan"," 2007","65","7","58"
"Bhutan"," 2004","58","10","48"
"Bolivia (Plurinational State of)"," 2011","1130","1130",""
"Bolivia (Plurinational State of)"," 2010","976","976",""
"Bolivia (Plurinational State of)"," 2007","598","598",""
"Bolivia (Plurinational State of)"," 2001","5997","5255","742"
"Bosnia and Herzegovina"," 2014","825","825",""
"Bosnia and Herzegovina"," 2013","809","809",""
"Bosnia and Herzegovina"," 2012","875","875",""
"Bosnia and Herzegovina"," 2011","808","808",""
"Bosnia and Herzegovina"," 2010","797","797",""
"Botswana"," 2009","145","55","90"
"Botswana"," 2008","98","18","80"
"Botswana"," 2004","38","38",""
"Brazil"," 2010","242266","242266",""
"Brazil"," 2009","231399","231399",""
"Brazil"," 2008","227141","227141",""
